Frequency(Hz),R(ohm),X(ohm),V(V),T(deg C),Range(Ohm)
0.01,0.227844,-0.31399,3.44608,20,3.0
0.02,0.182858,-0.197273,3.44568,20,3.0
0.03,0.16327,-0.160068,3.44453,20,0.3
0.05,0.138709,-0.113159,3.44675,20,0.3
0.08,0.121685,-0.0827244,3.44703,20,0.3
0.1,0.115198,-0.0715657,3.44733,20,0.3
0.2,0.0999994,-0.0448171,3.44777,20,0.3
0.3,0.0939981,-0.0340987,3.44794,20,0.3
0.5,0.08853,-0.0242287,3.44817,20,0.3
0.8,0.0849533,-0.0178982,3.44836,20,0.3
1.0,0.083583,-0.0156187,3.44853,20,0.3
2.0,0.0801824,-0.0106425,3.44863,20,0.3
3.0,0.0785959,-0.00886126,3.44875,20,0.3
5.0,0.076789,-0.00731951,3.44881,20,0.3
8.0,0.0752911,-0.00642048,3.44887,20,0.3
10.0,0.0746111,-0.00617767,3.44891,20,0.3
11.0,0.0743373,-0.00607296,3.44893,20,0.3
21.0,0.0723488,-0.00590226,3.44894,20,0.3
31.0,0.0710223,-0.00599771,3.44897,20,0.3
61.0,0.0683944,-0.00630573,3.44898,20,0.3
81.0,0.0671876,-0.00636756,3.44897,20,0.3
100.0,0.0662643,-0.00642893,3.44897,20,0.3
110.0,0.0658355,-0.00643459,3.44895,20,0.3
210.0,0.0628637,-0.0062876,3.44895,20,0.3
310.0,0.0610755,-0.00598993,3.44895,20,0.3
510.0,0.0587408,-0.00525706,3.44894,20,0.3
810.0,0.056584,-0.00413407,3.44894,20,0.3
1000.0,0.0556098,-0.00338927,3.44892,20,0.3
