Frequency(Hz),R(ohm),X(ohm),V(V),T(deg C),Range(Ohm)
0.01,0.124849,-0.0573255,3.32353,20,0.3
0.02,0.102666,-0.0427363,3.32608,20,0.3
0.03,0.0941272,-0.0344977,3.32609,20,0.3
0.05,0.0865789,-0.0260492,3.32634,20,0.3
0.08,0.0815564,-0.0203324,3.32649,20,0.3
0.1,0.079565,-0.0181883,3.32661,20,0.3
0.2,0.0744324,-0.0130576,3.32671,20,0.3
0.3,0.0720355,-0.0108542,3.32675,20,0.3
0.5,0.0695601,-0.00869801,3.32681,20,0.3
0.8,0.0677008,-0.00719042,3.32685,20,0.3
1.0,0.0669328,-0.00662387,3.3269,20,0.3
2.0,0.0648729,-0.00537102,3.32693,20,0.3
3.0,0.0638027,-0.00492347,3.32696,20,0.3
5.0,0.062524,-0.0046455,3.32697,20,0.3
8.0,0.0613487,-0.00461717,3.32699,20,0.3
10.0,0.0607782,-0.00465373,3.32702,20,0.3
11.0,0.0605363,-0.00467881,3.32702,20,0.3
21.0,0.058708,-0.00503884,3.32702,20,0.3
31.0,0.0574421,-0.00531173,3.32703,20,0.3
61.0,0.0549053,-0.00578529,3.32706,20,0.3
81.0,0.0537251,-0.00588879,3.32703,20,0.3
100.0,0.0528376,-0.00589536,3.32703,20,0.3
110.0,0.0524337,-0.00593099,3.32703,20,0.3
210.0,0.0495326,-0.00564548,3.32702,20,0.3
310.0,0.0477982,-0.00512102,3.32702,20,0.3
510.0,0.045633,-0.00401879,3.32703,20,0.3
810.0,0.0437781,-0.00240115,3.32703,20,0.3
1000.0,0.0429863,-0.00139648,3.32703,20,0.3
